Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
59	60	0	1.24817489	1190.85955	1185.50742	1180.65579	1190.85955	10.2037595	75.8856161	0	0	0	0	3
60	61	0	1.2693304	1188.93607	1185.58567	1180.65579	1190.85955	10.2037595	75.8856161	0	0	0	0	3
61	62	0	1.2904859	1189.05028	1185.67633	1180.65579	1190.85955	10.2037595	75.8856161	0	0	0	0	3
62	63	0	1.31164141	1189.03856	1185.79298	1180.65579	1190.85955	10.2037595	75.8856161	0	0	0	0	3
63	64	0	1.33279692	1189.76397	1185.95531	1180.65579	1190.85955	10.2037595	75.8856161	0	0	0	0	3
64	65	0	1.35395242	1191.74269	1186.14843	1180.65579	1191.74269	11.0869047	75.8856161	0	0	0	0	3
65	65	0	1.37510793	1191.91542	1186.48063	1180.65579	1191.91542	5.19972163	75.8856161	0	0	0	0	3
66	66	0	1.39626344	1192.04407	1186.7268	1180.65579	1192.04407	2.76810262	75.8856161	0	0	0	0	3
67	67	0	1.41741894	1192.28961	1186.90179	1180.65579	1192.28961	2.76810262	75.8856161	0	0	0	0	3
68	68	0	1.43857445	1192.58913	1187.134	1180.65579	1192.58913	2.76810262	75.8856161	0	0	0	0	3
69	69	0	1.45972996	1194.02163	1187.54779	1180.65579	1194.02163	2.76810262	75.8856161	0	0	0	0	3
70	70	0	1.48088546	1192.08459	1187.8092	1180.65579	1194.02163	2.72921244	75.8856161	0	0	0	0	3
71	71	0	1.50204097	1194.66429	1188.15479	1180.65579	1194.66429	2.64861746	75.8856161	0	0	0	0	3
72	72	0	1.52319648	1196.44099	1188.62685	1180.65579	1196.44099	3.12067329	75.8856161	0	0	0	0	3
73	72	0	1.54435198	1198.11594	1189.2174	1180.65579	1198.11594	3.71122224	75.8856161	0	0	0	0	3
74	73	0	1.56550749	1198.1045	1189.72959	1180.65579	1198.11594	4.22341826	75.8856161	0	0	0	0	3
75	74	0	1.58666299	1211.18718	1190.97274	1180.65579	1211.18718	5.46656959	75.8856161	0	0	0	0	3
76	75	0	1.6078185	1217.97039	1192.48206	1180.65579	1217.97039	6.97589034	75.8856161	0	0	0	0	3
77	76	0	1.62897401	1221.92951	1194.08055	1180.65579	1221.92951	8.57437944	75.8856161	0	0	0	0	3
